Team,AP_Rank,snapshot_date
MICH Michigan (20),1,2026-01-05
ARIZ Arizona (11),2,2026-01-05
ISU Iowa State,3,2026-01-05
CONN UConn,4,2026-01-05
DUKE Duke,5,2026-01-05
PUR Purdue,6,2026-01-05
GONZ Gonzaga,7,2026-01-05
HOU Houston,8,2026-01-05
MSU Michigan State,9,2026-01-05
BYU BYU,10,2026-01-05
VAN Vanderbilt,11,2026-01-05
UNC North Carolina,12,2026-01-05
NEB Nebraska,13,2026-01-05
LOU Louisville,13,2026-01-05
ALA Alabama,15,2026-01-05
TTU Texas Tech,16,2026-01-05
KU Kansas,17,2026-01-05
ARK Arkansas,18,2026-01-05
ILL Illinois,19,2026-01-05
TENN Tennessee,20,2026-01-05
UVA Virginia,21,2026-01-05
FLA Florida,22,2026-01-05
IOWA Iowa,23,2026-01-05
UGA Georgia,24,2026-01-05
SJU St. John's,25,2026-01-05
