snapshot_date,Team,BPI
2026-01-02,Michigan,1
2026-01-02,Gonzaga,2
2026-01-02,Duke,3
2026-01-02,Arizona,4
2026-01-02,Louisville,5
2026-01-02,Iowa St.,6
2026-01-02,Houston,7
2026-01-02,Purdue,8
2026-01-02,Connecticut,9
2026-01-02,Illinois,10
2026-01-02,BYU,11
2026-01-02,Vanderbilt,12
2026-01-02,Florida,13
2026-01-02,Tennessee,14
2026-01-02,Kansas,15
2026-01-02,St. John's,16
2026-01-02,Alabama,17
2026-01-02,Kentucky,18
2026-01-02,Indiana,19
2026-01-02,Michigan St.,20
2026-01-02,Texas Tech,21
2026-01-02,UCLA,22
2026-01-02,Auburn,23
2026-01-02,N.C. State,24
2026-01-02,Clemson,25
2026-01-02,Nebraska,26
2026-01-02,Iowa,27
2026-01-02,Utah St.,28
2026-01-02,North Carolina,29
2026-01-02,Baylor,30
2026-01-02,Arkansas,31
2026-01-02,Georgia,32
2026-01-02,Texas A&M,33
2026-01-02,Ohio St.,34
2026-01-02,Saint Mary's,35
2026-01-02,Virginia,36
2026-01-02,Saint Louis,37
2026-01-02,Villanova,38
2026-01-02,Wisconsin,39
2026-01-02,West Virginia,40
2026-01-02,Oklahoma,41
2026-01-02,Butler,42
2026-01-02,Miami FL,43
2026-01-02,Creighton,44
2026-01-02,Texas,45
2026-01-02,SMU,46
2026-01-02,LSU,47
2026-01-02,USC,48
2026-01-02,Missouri,49
2026-01-02,Mississippi,50
