Team,KenPom_Rank,snapshot_date
Michigan,1,2026-01-05
Arizona,2,2026-01-05
Iowa St.,3,2026-01-05
Purdue,4,2026-01-05
Gonzaga,5,2026-01-05
Vanderbilt,6,2026-01-05
Connecticut,7,2026-01-05
Illinois,8,2026-01-05
Duke,9,2026-01-05
BYU,10,2026-01-05
Houston,11,2026-01-05
Louisville,12,2026-01-05
Alabama,13,2026-01-05
Florida,14,2026-01-05
Michigan St.,15,2026-01-05
Tennessee,16,2026-01-05
Iowa,17,2026-01-05
Kansas,18,2026-01-05
Virginia,19,2026-01-05
Texas Tech,20,2026-01-05
Villanova,21,2026-01-05
Nebraska,22,2026-01-05
Arkansas,23,2026-01-05
Kentucky,24,2026-01-05
St. John's,25,2026-01-05
Georgia,26,2026-01-05
Indiana,27,2026-01-05
Saint Mary's,28,2026-01-05
North Carolina,29,2026-01-05
Utah St.,30,2026-01-05
SMU,31,2026-01-05
N.C. State,32,2026-01-05
Baylor,33,2026-01-05
Auburn,34,2026-01-05
Clemson,35,2026-01-05
UCLA,36,2026-01-05
LSU,37,2026-01-05
Miami FL,38,2026-01-05
Ohio St.,39,2026-01-05
USC,40,2026-01-05
Saint Louis,41,2026-01-05
VCU,42,2026-01-05
UCF,43,2026-01-05
Creighton,44,2026-01-05
Wisconsin,45,2026-01-05
Seton Hall,46,2026-01-05
Texas A&M,47,2026-01-05
Oklahoma,48,2026-01-05
Boise St.,49,2026-01-05
San Diego St.,50,2026-01-05
Washington,51,2026-01-05
Texas,52,2026-01-05
TCU,53,2026-01-05
Butler,54,2026-01-05
Santa Clara,55,2026-01-05
Akron,56,2026-01-05
Virginia Tech,57,2026-01-05
Notre Dame,58,2026-01-05
New Mexico,59,2026-01-05
Missouri,60,2026-01-05
Wake Forest,61,2026-01-05
Northwestern,62,2026-01-05
George Washington,63,2026-01-05
Providence,64,2026-01-05
Cincinnati,65,2026-01-05
McNeese,66,2026-01-05
Oklahoma St.,67,2026-01-05
Oregon,68,2026-01-05
Mississippi,69,2026-01-05
Tulsa,70,2026-01-05
West Virginia,71,2026-01-05
Nevada,72,2026-01-05
Kansas St.,73,2026-01-05
California,74,2026-01-05
Belmont,75,2026-01-05
Mississippi St.,76,2026-01-05
Memphis,77,2026-01-05
Illinois St.,78,2026-01-05
Dayton,79,2026-01-05
Colorado St.,80,2026-01-05
Colorado,81,2026-01-05
Stanford,82,2026-01-05
Syracuse,83,2026-01-05
Arizona St.,84,2026-01-05
Yale,85,2026-01-05
Murray St.,86,2026-01-05
Northern Iowa,87,2026-01-05
George Mason,88,2026-01-05
South Florida,89,2026-01-05
South Carolina,90,2026-01-05
High Point,91,2026-01-05
UC San Diego,92,2026-01-05
Wichita St.,93,2026-01-05
Pittsburgh,94,2026-01-05
Hawaii,95,2026-01-05
Minnesota,96,2026-01-05
Utah Valley,97,2026-01-05
Miami OH,98,2026-01-05
San Francisco,99,2026-01-05
Hofstra,100,2026-01-05
Grand Canyon,101,2026-01-05
UAB,102,2026-01-05
Wyoming,103,2026-01-05
Florida St.,104,2026-01-05
Florida Atlantic,105,2026-01-05
Georgetown,106,2026-01-05
Xavier,107,2026-01-05
Liberty,108,2026-01-05
Maryland,109,2026-01-05
DePaul,110,2026-01-05
