Team,NET_Rank,Record
Michigan,1,12-0
Duke,2,11-1
Arizona,3,13-0
Iowa St.,4,13-0
Gonzaga,5,14-1
Purdue,6,12-1
Vanderbilt,7,13-0
UConn,8,12-1
BYU,9,12-1
Illinois,10,10-3
Louisville,11,11-2
Nebraska,12,13-0
Iowa,13,11-2
Michigan St.,14,12-1
Alabama,15,10-3
Houston,16,12-1
Kansas,17,10-3
North Carolina,18,13-1
Texas Tech,19,10-3
Utah St.,20,10-1
Villanova,21,10-2
Tennessee,22,10-3
Georgia,23,12-1
Saint Mary's (CA),24,12-2
Florida,25,9-4
Virginia,26,11-1
Kentucky,27,9-4
Arkansas,28,10-3
St. John's (NY),29,8-4
Saint Louis,30,11-1
SMU,31,11-2
NC State,32,9-4
Indiana,33,10-3
Auburn,34,9-4
LSU,35,12-1
UCF,36,11-1
Miami (FL),37,12-2
Clemson,38,10-3
Southern California,39,11-1
Baylor,40,9-2
UCLA,41,10-3
Ohio St.,42,9-3
Boise St.,43,8-3
Butler,44,10-4
Seton Hall,45,12-2
Tulsa,46,10-1
McNeese,47,8-3
Akron,48,8-3
Creighton,49,9-5
TCU,50,10-3
Oklahoma,51,10-3
Washington,52,9-4
Utah Valley,53,8-3
Texas,54,8-4
Illinois St.,55,10-3
California,56,11-2
Yale,57,9-2
Miami (OH),58,11-0
UC San Diego,59,9-2
VCU,60,9-4
Nevada,61,10-3
Belmont,62,11-2
Kansas St.,63,9-4
Wisconsin,64,9-4
New Mexico,65,9-3
Texas A&M,66,10-3
Virginia Tech,67,11-2
Notre Dame,68,10-4
Santa Clara,69,10-4
Wake Forest,70,9-4
Northwestern,71,8-5
South Fla.,72,7-5
Murray St.,73,11-3
San Diego St.,74,7-4
William & Mary,75,8-3
Oklahoma St.,76,12-1
UNI,77,9-3
Arizona St.,78,9-4
George Washington,79,8-4
Wyoming,80,9-3
Colorado,81,10-3
George Mason,82,11-1
Wichita St.,83,7-5
Dayton,84,9-4
Syracuse,85,9-4
Hofstra,86,8-4
Sam Houston,87,5-4
Ole Miss,88,8-5
Colorado St.,89,8-4
West Virginia,90,9-4
Cincinnati,91,8-5
Missouri,92,10-3
Stanford,93,11-3
Bowling Green,94,7-4
SFA,95,8-2
High Point,96,9-3
Oregon,97,7-6
Providence,98,7-6
Grand Canyon,99,8-4
St. Bonaventure,100,10-2
Columbia,101,9-3
Mississippi St.,102,8-5
South Carolina,103,9-4
California Baptist,104,10-4
Memphis,105,5-7
Fla. Atlantic,106,6-5
Seattle U,107,10-3
Liberty,108,6-3
Minnesota,109,8-5
Xavier,110,9-4
Hawaii,111,8-2
Richmond,112,9-3
New Mexico St.,113,5-3
Rhode Island,114,9-4
UNCW,115,10-2
Pittsburgh,116,7-7
San Francisco,117,8-6
UAB,118,8-4
Northern Colo.,119,7-3
Bradley,120,9-4
St. Thomas (MN),121,8-4
Idaho St.,122,4-6
Arkansas St.,123,8-4
LMU (CA),124,9-5
Middle Tenn.,125,4-5
Florida St.,126,7-7
Georgetown,127,9-4
Southern Ill.,128,5-8
Marshall,129,7-5
ETSU,130,7-5
Wright St.,131,5-7
Pacific,132,7-6
Mercer,133,5-5
Utah,134,8-5
Troy,135,6-5
Tarleton St.,136,6-4
Lipscomb,137,5-6
Davidson,138,7-5
Penn St.,139,9-4
UC Irvine,140,7-5
Buffalo,141,9-2
Towson,142,6-6
Winthrop,143,5-7
Quinnipiac,144,9-4
Elon,145,7-5
DePaul,146,8-5
Maryland,147,7-6
Oakland,148,5-8
Idaho,149,5-5
UT Arlington,150,6-5
