Team,SOS_Rank,snapshot_date
Alabama,1,2026-01-05
Michigan,2,2026-01-05
UConn,3,2026-01-05
Gonzaga,4,2026-01-05
Purdue,5,2026-01-05
Auburn,6,2026-01-05
Kansas,7,2026-01-05
Arizona,8,2026-01-05
Illinois,9,2026-01-05
Duke,10,2026-01-05
Florida,11,2026-01-05
Kentucky,12,2026-01-05
Iowa St,13,2026-01-05
Louisville,14,2026-01-05
Texas Tech,15,2026-01-05
Tennessee,16,2026-01-05
Arkansas,17,2026-01-05
Michigan St,18,2026-01-05
St John's,19,2026-01-05
BYU,20,2026-01-05
Houston,21,2026-01-05
Vanderbilt,22,2026-01-05
Creighton,23,2026-01-05
Clemson,24,2026-01-05
NC State,25,2026-01-05
Villanova,26,2026-01-05
North Carolina,27,2026-01-05
UCLA,28,2026-01-05
Wisconsin,29,2026-01-05
Iowa,30,2026-01-05
Butler,31,2026-01-05
Nebraska,32,2026-01-05
SMU,33,2026-01-05
Memphis,34,2026-01-05
Virginia,35,2026-01-05
Ohio St,36,2026-01-05
Baylor,37,2026-01-05
Indiana,38,2026-01-05
Oregon,39,2026-01-05
Boise St,40,2026-01-05
Wake Forest,41,2026-01-05
USC,42,2026-01-05
Texas,43,2026-01-05
Providence,44,2026-01-05
Kansas St,45,2026-01-05
Notre Dame,46,2026-01-05
San Diego St,47,2026-01-05
Mississippi St,48,2026-01-05
Washington,49,2026-01-05
Arizona St,50,2026-01-05
VCU,51,2026-01-05
Maryland,52,2026-01-05
TCU,53,2026-01-05
Pittsburgh,54,2026-01-05
Northwestern,55,2026-01-05
Cincinnati,56,2026-01-05
UCF,57,2026-01-05
Georgia,58,2026-01-05
Oklahoma,59,2026-01-05
Mississippi,60,2026-01-05
Xavier,61,2026-01-05
S Florida,62,2026-01-05
Marquette,63,2026-01-05
Florida St,64,2026-01-05
Virginia Tech,65,2026-01-05
Seton Hall,66,2026-01-05
Oakland,67,2026-01-05
Saint Mary's,68,2026-01-05
Miami,69,2026-01-05
LSU,70,2026-01-05
Texas A&M,71,2026-01-05
Syracuse,72,2026-01-05
Missouri,73,2026-01-05
New Mexico,74,2026-01-05
Nevada,75,2026-01-05
Minnesota,76,2026-01-05
Utah St,77,2026-01-05
West Virginia,78,2026-01-05
Oklahoma St,79,2026-01-05
Dayton,80,2026-01-05
Georgetown,81,2026-01-05
Santa Clara,82,2026-01-05
DePaul,83,2026-01-05
Stanford,84,2026-01-05
New Orleans,85,2026-01-05
Colorado St,86,2026-01-05
Colorado,87,2026-01-05
McNeese,88,2026-01-05
San Francisco,89,2026-01-05
Utah,90,2026-01-05
Middle Tenn,91,2026-01-05
Alcorn St,92,2026-01-05
Wichita St,93,2026-01-05
Akron,94,2026-01-05
G Washington,95,2026-01-05
Grand Canyon,96,2026-01-05
S Illinois,97,2026-01-05
Washington St,98,2026-01-05
Rutgers,99,2026-01-05
California,100,2026-01-05
Murray St,101,2026-01-05
South Carolina,102,2026-01-05
San Jose St,103,2026-01-05
Penn St,104,2026-01-05
Florida Atlantic,105,2026-01-05
Illinois St,106,2026-01-05
Hofstra,107,2026-01-05
Saint Louis,108,2026-01-05
Yale,109,2026-01-05
E Washington,110,2026-01-05
N Iowa,111,2026-01-05
Sam Houston,112,2026-01-05
Mercer,113,2026-01-05
Cal Baptist,114,2026-01-05
Utah Valley,115,2026-01-05
Nicholls,116,2026-01-05
Troy,117,2026-01-05
William & Mary,118,2026-01-05
