bpi_rank,team_bpi
1,Duke Blue Devils
2,Michigan Wolverines
3,Arizona Wildcats
4,Houston Cougars
5,Florida Gators
6,Illinois Fighting Illini
7,Gonzaga Bulldogs
8,Iowa State Cyclones
9,Purdue Boilermakers
10,UConn Huskies
11,Louisville Cardinals
12,Michigan State Spartans
13,Tennessee Volunteers
14,Alabama Crimson Tide
15,Vanderbilt Commodores
16,Nebraska Cornhuskers
17,St. John's Red Storm
18,Texas Tech Red Raiders
19,Kansas Jayhawks
20,Arkansas Razorbacks
21,Kentucky Wildcats
22,BYU Cougars
23,Virginia Cavaliers
24,Wisconsin Badgers
25,Saint Mary's Gaels
26,UCLA Bruins
27,Saint Louis Billikens
28,Auburn Tigers
29,Clemson Tigers
30,Texas A&M Aggies
31,North Carolina Tar Heels
32,Ohio State Buckeyes
33,Indiana Hoosiers
34,Iowa Hawkeyes
35,Georgia Bulldogs
36,Villanova Wildcats
37,Texas Longhorns
38,NC State Wolfpack
39,Utah State Aggies
40,Miami Hurricanes
41,Cincinnati Bearcats
42,SMU Mustangs
43,Oklahoma Sooners
44,Missouri Tigers
45,Baylor Bears
46,VCU Rams
47,West Virginia Mountaineers
48,TCU Horned Frogs
49,Washington Huskies
50,Santa Clara Broncos
51,New Mexico Lobos
52,Providence Friars
53,UCF Knights
54,San Diego State Aztecs
55,Seton Hall Pirates
56,LSU Tigers
57,South Florida Bulls
58,Ole Miss Rebels
59,USC Trojans
60,High Point Panthers
61,Butler Bulldogs
62,McNeese Cowboys
63,Wake Forest Demon Deacons
64,Northwestern Wildcats
65,Minnesota Golden Gophers
66,Creighton Bluejays
67,Dayton Flyers
68,Tulsa Golden Hurricane
69,Virginia Tech Hokies
70,George Washington Revolutionaries
71,Syracuse Orange
72,Grand Canyon Lopes
73,Boise State Broncos
74,Mississippi State Bulldogs
75,Akron Zips
76,Stanford Cardinal
77,California Golden Bears
78,Oklahoma State Cowboys
79,Georgetown Hoyas
80,Arizona State Sun Devils
81,Florida State Seminoles
82,Marquette Golden Eagles
83,Notre Dame Fighting Irish
84,Nevada Wolf Pack
85,Colorado State Rams
86,Oregon Ducks
87,Kansas State Wildcats
88,Belmont Bruins
89,Northern Iowa Panthers
90,Miami (OH) RedHawks
91,Colorado Buffaloes
92,Wichita State Shockers
93,George Mason Patriots
94,South Carolina Gamecocks
95,Pittsburgh Panthers
96,Xavier Musketeers
97,DePaul Blue Demons
98,Maryland Terrapins
99,Illinois State Redbirds
100,Liberty Flames
101,Yale Bulldogs
102,Memphis Tigers
103,UAB Blazers
104,UNC Wilmington Seahawks
105,Utah Utes
106,Hofstra Pride
107,San Francisco Dons
108,UNLV Rebels
109,Sam Houston Bearkats
110,Utah Valley Wolverines
111,Davidson Wildcats
112,Stephen F. Austin Lumberjacks
113,UC Irvine Anteaters
114,Bradley Braves
115,Rhode Island Rams
116,Penn State Nittany Lions
117,Florida Atlantic Owls
118,Murray State Racers
119,Wyoming Cowboys
120,Southern Illinois Salukis
121,North Texas Mean Green
122,Rutgers Scarlet Knights
123,Hawai'i Rainbow Warriors
124,UIC Flames
125,Seattle U Redhawks
126,Saint Joseph's Hawks
127,Duquesne Dukes
128,St. Thomas-Minnesota Tommies
129,East Tennessee State Buccaneers
130,Kennesaw State Owls
131,Arkansas State Red Wolves
132,Pacific Tigers
133,Western Kentucky Hilltoppers
134,St. Bonaventure Bonnies
135,Navy Midshipmen
136,Richmond Spiders
137,North Dakota State Bison
138,Troy Trojans
139,UC San Diego Tritons
140,Georgia Tech Yellow Jackets
141,Winthrop Eagles
142,Temple Owls
143,William & Mary Tribe
144,Loyola Marymount Lions
145,UC Santa Barbara Gauchos
146,Wright State Raiders
147,Kent State Golden Flashes
148,UT Rio Grande Valley Vaqueros
149,Bowling Green Falcons
150,Cornell Big Red
151,California Baptist Lancers
152,Fresno State Bulldogs
153,Boston College Eagles
154,App State Mountaineers
155,Towson Tigers
156,Montana State Bobcats
157,Toledo Rockets
158,Washington State Cougars
159,Mercer Bears
160,Charleston Cougars
161,Middle Tennessee Blue Raiders
162,Austin Peay Governors
163,Northern Colorado Bears
164,Lipscomb Bisons
165,Massachusetts Minutemen
166,Oakland Golden Grizzlies
167,New Mexico State Aggies
168,Harvard Crimson
169,Marshall Thundering Herd
170,Jacksonville State Gamecocks
171,Robert Morris Colonials
172,Fordham Rams
173,Furman Paladins
174,Valparaiso Beacons
175,Oregon State Beavers
176,Pennsylvania Quakers
177,Samford Bulldogs
178,South Alabama Jaguars
179,Monmouth Hawks
180,James Madison Dukes
181,Merrimack Warriors
182,Columbia Lions
183,Texas A&M-Corpus Christi Islanders
184,Portland State Vikings
185,Cal State Northridge Matadors
186,Tulane Green Wave
187,Charlotte 49ers
188,Idaho Vandals
189,Northern Kentucky Norse
190,Central Arkansas Bears
191,Campbell Fighting Camels
192,UMBC Retrievers
193,Quinnipiac Bobcats
194,Drake Bulldogs
195,Rice Owls
196,UT Arlington Mavericks
197,Queens University Royals
198,Youngstown State Penguins
199,Siena Saints
200,Marist Red Foxes
201,Ohio Bobcats
202,Louisiana Tech Bulldogs
203,Howard Bison
204,Vermont Catamounts
205,South Dakota State Jackrabbits
206,UC Davis Aggies
207,Texas State Bobcats
208,Missouri State Bears
209,Weber State Wildcats
210,Eastern Washington Eagles
211,Radford Highlanders
212,Drexel Dragons
213,Long Island University Sharks
214,La Salle Explorers
215,Western Carolina Catamounts
216,Tennessee State Tigers
217,Florida International Panthers
218,UT Martin Skyhawks
219,Iona Gaels
220,Indiana State Sycamores
221,American University Eagles
222,Montana Grizzlies
223,Old Dominion Monarchs
224,Elon Phoenix
225,Colgate Raiders
226,Buffalo Bulls
227,Longwood Lancers
228,Nicholls Colonels
229,Coastal Carolina Chanticleers
230,Milwaukee Panthers
231,Florida Gulf Coast Eagles
232,New Orleans Privateers
233,Saint Peter's Peacocks
234,Boston University Terriers
235,Green Bay Phoenix
236,Utah Tech Trailblazers
237,Bethune-Cookman Wildcats
238,Wofford Terriers
239,Lamar Cardinals
240,Purdue Fort Wayne Mastodons
241,Cal State Fullerton Titans
242,UNC Asheville Bulldogs
243,San José State Spartans
244,Southeast Missouri State Redhawks
245,San Diego Toreros
246,Southern Miss Golden Eagles
247,Incarnate Word Cardinals
248,Georgia Southern Eagles
249,Eastern Michigan Eagles
250,Stony Brook Seawolves
251,SIU Edwardsville Cougars
252,Charleston Southern Buccaneers
253,Dartmouth Big Green
254,East Carolina Pirates
255,Princeton Tigers
256,Brown Bears
257,Chattanooga Mocs
258,Lindenwood Lions
259,Fairfield Stags
260,Southern Jaguars
261,Loyola Chicago Ramblers
262,Eastern Kentucky Colonels
263,Denver Pioneers
264,Hampton Pirates
265,Abilene Christian Wildcats
266,Tarleton State Texans
267,Jacksonville Dolphins
268,Norfolk State Spartans
269,UTEP Miners
270,Detroit Mercy Titans
271,Presbyterian Blue Hose
272,Ball State Cardinals
273,Cal Poly Mustangs
274,Omaha Mavericks
275,Delaware Blue Hens
276,Mount St. Mary's Mountaineers
277,UNC Greensboro Spartans
278,Central Connecticut Blue Devils
279,Portland Pilots
280,Central Michigan Chippewas
281,UC Riverside Highlanders
282,SE Louisiana Lions
283,Sacred Heart Pioneers
284,Mercyhurst Lakers
285,Pepperdine Waves
286,Northeastern Huskies
287,Morehead State Eagles
288,Long Beach State Beach
289,Northwestern State Demons
290,North Carolina A&T Aggies
291,South Carolina Upstate Spartans
292,Bellarmine Knights
293,Le Moyne Dolphins
294,Lehigh Mountain Hawks
295,Georgia State Panthers
296,North Dakota Fighting Hawks
297,Southern Utah Thunderbirds
298,UAlbany Great Danes
299,Sacramento State Hornets
300,Western Michigan Broncos
301,Texas Southern Tigers
302,Grambling Tigers
303,Idaho State Bengals
304,East Texas A&M Lions
305,UMass Lowell River Hawks
306,Little Rock Trojans
307,South Dakota Coyotes
308,Louisiana Ragin' Cajuns
309,Evansville Purple Aces
310,Loyola Maryland Greyhounds
311,Cleveland State Vikings
312,Lafayette Leopards
313,Houston Christian Huskies
314,Northern Arizona Lumberjacks
315,IU Indianapolis Jaguars
316,Alabama State Hornets
317,Prairie View A&M Panthers
318,Tennessee Tech Golden Eagles
319,UTSA Roadrunners
320,Manhattan Jaspers
321,West Georgia Wolves
322,Florida A&M Rattlers
323,New Haven Chargers
324,Oral Roberts Golden Eagles
325,Cal State Bakersfield Roadrunners
326,Fairleigh Dickinson Knights
327,Alabama A&M Bulldogs
328,Maine Black Bears
329,Wagner Seahawks
330,Stonehill Skyhawks
331,Northern Illinois Huskies
332,Eastern Illinois Panthers
333,Holy Cross Crusaders
334,North Florida Ospreys
335,North Alabama Lions
336,Arkansas-Pine Bluff Golden Lions
337,Bucknell Bison
338,NJIT Highlanders
339,Stetson Hatters
340,Army Black Knights
341,North Carolina Central Eagles
342,New Hampshire Wildcats
343,Southern Indiana Screaming Eagles
344,Maryland Eastern Shore Hawks
345,Bryant Bulldogs
346,Niagara Purple Eagles
347,Saint Francis Red Flash
348,Chicago State Cougars
349,Morgan State Bears
350,Canisius Golden Griffins
351,Jackson State Tigers
352,UL Monroe Warhawks
353,VMI Keydets
354,Air Force Falcons
355,Alcorn State Braves
356,Binghamton Bearcats
357,The Citadel Bulldogs
358,Rider Broncs
359,Kansas City Roos
360,South Carolina State Bulldogs
361,Delaware State Hornets
362,Western Illinois Leathernecks
363,Gardner-Webb Runnin' Bulldogs
364,Coppin State Eagles
365,Mississippi Valley State Delta Devils
