Date,Team,Location,Opponent,Team_Score,Opponent_Score,Win?
11/3,Virginia,Home,Rider,87.0,53.0,Yes
11/3,UNC,Home,Central Ark,94.0,54.0,Yes
11/3,Cal,Home,Cal State Bake.,87.0,60.0,Yes
11/3,Louisville,Home,SC State,104.0,45.0,Yes
11/3,Miami (FL),Home,Jacksonville,86.0,69.0,Yes
11/3,SMU,Home,Tarleton,96.0,76.0,Yes
11/3,Wake forest,Home,American,88.0,74.0,Yes
11/3,Georgia Tech,Home,UMES,56.0,52.0,Yes
11/3,Notre Dame,Home,Long Island,89.0,67.0,Yes
11/3,Clemson,Home,New Hamp,88.0,38.0,Yes
11/3,Boston College,Away,FAU,78.0,83.0,No
11/3,NC State,Home,NC Central,114.0,66.0,Yes
11/3,Pitt,Home,YSU,74.0,59.0,Yes
11/3,Syracuse,Home,BING,85.0,47.0,Yes
11/3,Virginia Tech,Home,CHSO,98.0,67.0,Yes
11/3,BYU,Neutral,Villanova,71.0,66.0,Yes
11/3,Depaul,Home,Chic,92.0,62.0,Yes
11/3,Marquette,Home,Albany,80.0,53.0,Yes
11/3,Seton Hall,Home,Saint Peter's,77.0,50.0,Yes
11/3,Providence,Home,Holy Cross,89.0,79.0,Yes
11/3,Xavier,Home,Marist,66.0,62.0,Yes
11/3,UConn,Home,New Hav,79.0,55.0,Yes
11/3,Georgetown,Home,Morg St,87.0,70.0,Yes
11/3,St. John's,Home,Quin,108.0,74.0,Yes
11/3,Washington,Home,UABP,94.0,50.0,Yes
11/3,UCLA,Home,Washington,80.0,74.0,Yes
11/3,USC,Home,Cal Poly,94.0,64.0,Yes
11/3,Michigan,Home,Oakland,121.0,78.0,Yes
11/3,Illinois,Home,JKST,113.0,55.0,Yes
11/3,Northwestern,Home,Merc,70.0,47.0,Yes
11/3,Wisconsin,Home,Campbell,96.0,64.0,Yes
11/3,Minnesota,Home,GWEB,87.0,60.0,Yes
11/3,Penn St,Home,Fairfield,76.0,68.0,Yes
11/3,Michigan St,Home,Colgate,80.0,69.0,Yes
11/3,Maryland,Neutral,Coppin St,83.0,61.0,Yes
11/3,Ohio St,Home,IUPUI,118.0,102.0,Yes
11/3,Villanova,Neutral,BYU,66.0,71.0,No
11/3,Colorado,Home,MTST,84.0,78.0,Yes
11/3,Utah,Home,SJSU,84.0,75.0,Yes
11/3,UCF,Home,Hofstra,82.0,78.0,Yes
11/3,TCU,Home,UNO,74.0,78.0,No
11/3,Iowa St,Home,FDU,88.0,50.0,Yes
11/3,Baylor,Home,RGV,96.0,81.0,Yes
11/3,Kansas,Home,Green Bay,94.0,51.0,Yes
11/3,Houston,Home,Lehigh,75.0,57.0,Yes
11/3,Cincinnati,Home,WCU,94.0,63.0,Yes
11/3,Florida,Neutral,Arizona,87.0,93.0,No
11/3,Oklahoma,Home,SFPA,102.0,66.0,Yes
11/3,Ole Miss,Home,SELA,88.0,58.0,Yes
11/3,Alabama,Home,UND,91.0,62.0,Yes
11/3,Auburn,Home,BCU,95.0,90.0,Yes
11/3,Vanderbilt,Home,Lipscomb,105.0,61.0,Yes
11/3,Texas A&M,Home,NWST,98.0,68.0,Yes
11/3,Georgia,Home,Bellarmine,104.0,59.0,Yes
11/3,Tennessee,Home,Mercer,76.0,61.0,Yes
11/3,Arkansas,Home,Southern,109.0,77.0,Yes
11/3,Arizona,Neutral,Florida,93.0,87.0,Yes
11/3,Missouri,Home,Howard,88.0,67.0,Yes
,,,,,,
11/4,Purdue,Home,Evansville,82.0,51.0,Yes
11/4,Evansville,Away,Purdue,51.0,82.0,No
11/4,Duke,Home,Texas,75.0,60.0,Yes
11/4,Texas,Away,Duke,60.0,75.0,No
11/4,Kentucky,Home,Nicholls,77.0,51.0,Yes
11/4,Nicholls,Away,Kentucky,51.0,77.0,No
11/4,Texas Tech,Home,Lindenwood,98.0,60.0,Yes
11/4,Lindenwood,Away,Texas Tech,60.0,98.0,No
11/4,UMBC,Home,PSU York,74.0,53.0,Yes
11/4,PSU York,Away,UMBC,53.0,74.0,No
11/4,SIUE,Home,East West,119.0,50.0,Yes
11/4,East West,Away,SIUE,50.0,119.0,No
11/4,South Carolina,Home,NC A&T,91.0,72.0,Yes
11/4,NC A&T,Away,South Carolina,72.0,91.0,No
11/4,Florida St,Home,Alcorn St,108.0,76.0,Yes
11/4,Alcorn St,Away,Florida St,76.0,108.0,No
11/4,ETSU,Home,Converse,102.0,50.0,Yes
11/4,Converse,Away,ETSU,50.0,102.0,No
11/4,Monmouth,Home,Caldwell,96.0,68.0,Yes
11/4,Caldwell,Away,Monmouth,68.0,96.0,No
11/4,Manhattan,Home,St Joseph BKN,125.0,59.0,Yes
11/4,St Joseph BKN,Away,Manhattan,59.0,125.0,No
11/4,Sacred Heart,Home,Merch Marn,103.0,46.0,Yes
11/4,Merch Marn,Away,Sacred Heart,46.0,103.0,No
11/4,Fordham,Home,NJIT,61.0,72.0,No
11/4,NJIT,Away,Fordham,72.0,61.0,Yes
11/4,East Carolina,Home,GA Southern,92.0,89.0,Yes
11/4,GA Southern,Away,East Carolina,89.0,92.0,No
11/4,West Virginia,Home,Mount St Marys,70.0,54.0,Yes
11/4,Mount St Marys,Away,West Virginia,54.0,70.0,No
11/4,Wichita St,Home,UNC Asheville,75.0,58.0,Yes
11/4,UNC Asheville,Away,Wichita St,58.0,75.0,No
11/4,Utah Valley,Home,West Coast,116.0,35.0,Yes
11/4,West Coast,Away,Utah Valley,35.0,116.0,No
11/4,Rice,Home,Biblical Stud,109.0,38.0,Yes
11/4,Biblical Stud,Away,Rice,38.0,109.0,No
11/4,Little Rock,Home,Ark Baptist,92.0,63.0,Yes
11/4,Ark Baptist,Away,Little Rock,63.0,92.0,No
11/4,Missouri St,Home,MO So St,88.0,70.0,Yes
11/4,MO So St,Away,Missouri St,70.0,88.0,No
11/4,Valparaiso,Home,E Illinois,66.0,63.0,Yes
11/4,E Illinois,Away,Valparaiso,63.0,66.0,No
11/4,Kansas St,Home,UNC Greensboro,93.0,64.0,Yes
11/4,UNC Greensboro,Away,Kansas St,64.0,93.0,No
11/4,Oklahoma St,Home,Oral Roberts,95.0,71.0,Yes
11/4,Oral Roberts,Away,Oklahoma St,71.0,95.0,No
11/4,Iowa,Home,Robert Morris,101.0,69.0,Yes
11/4,Robert Morris,Away,Iowa,69.0,101.0,No
11/4,New Mexico St,Home,Adams St,83.0,72.0,Yes
11/4,Adams St,Away,New Mexico St,72.0,83.0,No
11/4,Santa Barbara,Home,San Fran St,98.0,67.0,Yes
11/4,San Fran St,Away,Santa Barbara,67.0,98.0,No
11/4,San Diego,Home,Occidental,88.0,59.0,Yes
11/4,Occidental,Away,San Diego,59.0,88.0,No
11/4,Arizona St,Home,Southern Utah,81.0,64.0,Yes
11/4,Southern Utah,Away,Arizona St,64.0,81.0,No
11/4,Sacramento St,Home,Dominican CA,103.0,79.0,Yes
11/4,Dominican CA,Away,Sacramento St,79.0,103.0,No
11/4,Nevada,Home,Louisiana Tech,77.0,50.0,Yes
11/4,Louisiana Tech,Away,Nevada,50.0,77.0,No
11/4,Santa Clara,Home,Humboldt,83.0,53.0,Yes
11/4,Humboldt,Away,Santa Clara,53.0,83.0,No
11/4,Idaho St,Home,Park U Gilbert,81.0,71.0,Yes
11/4,Park U Gilbert,Away,Idaho St,71.0,81.0,No
11/4,San Diego St,Home,Long Beach St,77.0,45.0,Yes
11/4,Long Beach St,Away,San Diego St,45.0,77.0,No
11/4,UNLV,Home,UT Martin,81.0,86.0,No
11/4,UT Martin,Away,UNLV,86.0,81.0,Yes
11/4,Stanford,Home,Portland St,89.0,79.0,Yes
11/4,Portland St,Away,Stanford,79.0,89.0,No
11/4,Oregon,Home,Hawai’i,60.0,59.0,Yes
11/4,Hawai’i,Away,Oregon,59.0,60.0,No
11/5,Creighton,Home,South Dakota,92.0,76.0,Yes
11/5,South Dakota,Away,Creighton,76.0,92.0,No
11/5,MTSU,Home,Milligan,100.0,51.0,Yes
11/5,Milligan,Away,MTSU,51.0,100.0,No
