kenpom_name,kenpom_rank
Michigan,1
Arizona,2
Iowa St.,3
Purdue,4
Gonzaga,5
Vanderbilt,6
Connecticut,7
Illinois,8
Duke,9
BYU,10
Houston,11
Louisville,12
Alabama,13
Florida,14
Michigan St.,15
Tennessee,16
Iowa,17
Kansas,18
Virginia,19
Texas Tech,20
Villanova,21
Nebraska,22
Arkansas,23
Kentucky,24
St. John's,25
Georgia,26
Indiana,27
Saint Mary's,28
North Carolina,29
Utah St.,30
SMU,31
N.C. State,32
Baylor,33
Auburn,34
Clemson,35
UCLA,36
LSU,37
Miami FL,38
Ohio St.,39
USC,40
Saint Louis,41
VCU,42
UCF,43
Creighton,44
Wisconsin,45
Seton Hall,46
Texas A&M,47
Oklahoma,48
Boise St.,49
San Diego St.,50
Washington,51
Texas,52
TCU,53
Butler,54
Santa Clara,55
Akron,56
Virginia Tech,57
Notre Dame,58
New Mexico,59
Missouri,60
Wake Forest,61
Northwestern,62
George Washington,63
Providence,64
Cincinnati,65
McNeese,66
Oklahoma St.,67
Oregon,68
Mississippi,69
Tulsa,70
West Virginia,71
Nevada,72
Kansas St.,73
California,74
Belmont,75
Mississippi St.,76
Memphis,77
Illinois St.,78
Dayton,79
Colorado St.,80
Colorado,81
Stanford,82
Syracuse,83
Arizona St.,84
Yale,85
Murray St.,86
Northern Iowa,87
George Mason,88
South Florida,89
South Carolina,90
UC San Diego,92
Wichita St.,93
Pittsburgh,94
Hawaii,95
Minnesota,96
Utah Valley,97
Miami OH,98
San Francisco,99
Hofstra,100
Grand Canyon,101
UAB,102
Wyoming,103
Florida St.,104
Florida Atlantic,105
Georgetown,106
Xavier,107
Liberty,108
Maryland,109
DePaul,110
Seattle,111
Bowling Green,112
St. Bonaventure,113
William & Mary,114
Southern Illinois,115
Richmond,116
Stephen F. Austin,117
Georgia Tech,118
Marquette,119
Rhode Island,120
Penn St.,121
UNC Wilmington,122
Middle Tennessee,123
Sam Houston St.,124
Loyola Marymount,125
UC Irvine,126
East Tennessee St.,127
Utah,128
Pacific,129
Davidson,130
Duquesne,131
Oakland,132
North Texas,133
Troy,134
Bradley,135
UNLV,136
Columbia,137
Arkansas St.,138
Marist,139
St. Thomas,140
Cal Baptist,141
Wright St.,142
Kent St.,143
Temple,144
Lipscomb,145
New Mexico St.,146
North Dakota St.,147
UT Arlington,149
Western Kentucky,150
Washington St.,151
Elon,152
Incarnate Word,153
Drake,154
Boston College,155
Montana St.,156
Rutgers,157
Quinnipiac,158
FIU,159
Mercer,160
Tarleton St.,161
Marshall,162
Furman,163
Fresno St.,164
UC Santa Barbara,165
Cornell,166
Portland St.,167
Buffalo,168
Florida Gulf Coast,169
Northern Colorado,170
UC Davis,171
Towson,172
Toledo,173
Idaho St.,174
Charleston,175
Siena,176
Massachusetts,177
Kennesaw St.,178
Charlotte,179
Colgate,180
Harvard,181
LIU,182
Tulane,183
South Dakota St.,184
Montana,185
Vermont,186
Indiana St.,187
Ohio,188
Idaho,189
Valparaiso,190
Youngstown St.,191
Southern Miss,192
Northern Kentucky,193
San Jose St.,194
Robert Morris,195
Fordham,196
CSUN,197
Missouri St.,198
Austin Peay,199
Nicholls,200
Texas A&M Corpus Chris,201
South Alabama,202
Navy,203
Milwaukee,204
Campbell,205
Utah Tech,206
Eastern Michigan,207
Queens,208
James Madison,209
Illinois Chicago,210
Georgia Southern,211
San Diego,212
Penn,213
Abilene Christian,214
Weber St.,215
Saint Joseph's,216
Iona,217
UT Rio Grande Valley,218
Tennessee Martin,219
Monmouth,220
New Orleans,221
Louisiana Tech,222
Oregon St.,223
Central Arkansas,224
Northeastern,225
Jacksonville St.,226
Wofford,227
Southeast Missouri,228
Portland,230
Lamar,231
Lindenwood,232
Samford,233
Cal St. Fullerton,234
American,235
Tennessee St.,236
Cal Poly,237
Appalachian St.,238
Brown,239
Long Beach St.,240
Southern,242
Hampton,243
Dartmouth,244
Eastern Washington,245
Denver,246
Merrimack,247
Grambling St.,248
Green Bay,249
Old Dominion,250
La Salle,251
Princeton,252
Rice,254
Pepperdine,255
Stony Brook,256
Purdue Fort Wayne,257
Saint Peter's,258
SIUE,259
UTEP,260
Coastal Carolina,261
Central Connecticut,262
Bellarmine,263
Chattanooga,264
UMBC,265
Bethune Cookman,266
Western Carolina,267
Texas St.,268
Western Michigan,269
Nebraska Omaha,270
Delaware,271
Loyola Chicago,272
Eastern Kentucky,273
Southeastern Louisiana,274
UNC Greensboro,275
Fairfield,277
Alabama St.,278
Howard,279
Evansville,280
UC Riverside,282
East Carolina,283
Houston Christian,284
Norfolk St.,285
Detroit Mercy,286
Drexel,287
Sacramento St.,288
South Dakota,290
Northern Arizona,291
Boston University,292
Oral Roberts,293
Cal St. Bakersfield,294
Prairie View A&M,295
Sacred Heart,296
North Alabama,297
West Georgia,298
Le Moyne,299
UMass Lowell,300
Alabama A&M,301
Northwestern St.,302
UTSA,303
Morehead St.,304
Georgia St.,305
Little Rock,306
Mount St. Mary's,307
Tennessee Tech,308
Manhattan,309
Wagner,310
Bucknell,311
North Carolina A&T,312
Lafayette,313
Bryant,314
North Dakota,315
Ball St.,316
Eastern Illinois,317
Northern Illinois,318
Jacksonville,319
Mercyhurst,320
East Texas A&M,321
Louisiana,322
Albany,323
Cleveland St.,324
Lehigh,325
Holy Cross,326
Army,327
Kansas City,328
Southern Indiana,329
Central Michigan,330
Arkansas Pine Bluff,331
Southern Utah,332
Texas Southern,333
Air Force,334
VMI,335
Maryland Eastern Shore,336
New Hampshire,337
Canisius,338
New Haven,339
IU Indy,340
Florida A&M,341
Alcorn St.,342
North Florida,343
Jackson St.,344
Loyola MD,345
Stetson,346
Stonehill,347
Maine,348
North Carolina Central,349
Rider,350
Chicago St.,351
Fairleigh Dickinson,352
NJIT,353
Louisiana Monroe,354
Western Illinois,355
Niagara,356
Delaware St.,357
The Citadel,358
South Carolina St.,360
Morgan St.,361
Saint Francis,362
Binghamton,363
Coppin St.,364
Mississippi Valley St.,365
