kenpom_rank,team_kenpom,record
1,Duke,27-2
2,Michigan,27-2
3,Arizona,26-2
4,Florida,22-6
5,Illinois,22-7
6,Houston,24-5
7,Iowa St.,24-4
8,Purdue,22-6
9,Connecticut,27-3
10,Michigan St.,23-5
11,Gonzaga,28-2
12,Nebraska,24-4
13,Kansas,21-7
14,Texas Tech,21-7
15,Vanderbilt,22-7
16,Arkansas,21-7
17,Tennessee,20-8
18,Virginia,25-4
19,Alabama,21-7
20,Louisville,20-9
21,BYU,20-8
22,St. John's,22-6
23,Saint Mary's,26-4
24,Iowa,20-9
25,Kentucky,19-10
26,Utah St.,23-5
27,Saint Louis,25-3
28,Villanova,22-6
29,North Carolina,22-6
30,Wisconsin,20-9
31,N.C. State,19-10
32,Miami FL,23-6
33,Georgia,20-9
34,Texas,17-11
35,SMU,19-9
36,Texas A&M,19-9
37,Clemson,21-8
38,Auburn,15-13
39,Santa Clara,23-7
40,Ohio St.,17-11
41,UCLA,19-10
42,Indiana,17-11
43,San Diego St.,19-9
44,Cincinnati,16-13
45,VCU,22-7
46,New Mexico,22-7
47,UCF,20-7
48,Missouri,20-9
49,Baylor,14-14
50,Seton Hall,19-10
51,TCU,18-10
52,LSU,15-13
53,Washington,14-15
54,South Florida,20-8
55,Belmont,26-4
56,Oklahoma,14-14
57,Tulsa,23-6
58,Virginia Tech,18-10
59,Akron,24-5
60,USC,18-10
61,California,20-8
62,Minnesota,14-15
63,West Virginia,16-12
64,Grand Canyon,18-10
65,Boise St.,17-11
66,Providence,13-15
67,Arizona St.,15-14
68,McNeese,24-5
69,Nevada,19-9
70,Northwestern,13-16
71,Florida St.,15-14
72,Colorado,16-13
73,Stanford,17-11
74,Dayton,20-9
75,Syracuse,15-13
76,Oklahoma St.,17-12
77,George Washington,16-13
78,Creighton,14-15
79,Wake Forest,14-14
80,Yale,21-5
81,Butler,15-14
82,Utah Valley,21-7
83,Notre Dame,13-16
84,Northern Iowa,18-12
85,Mississippi,11-17
86,Miami OH,29-0
87,Colorado St.,18-10
88,Georgetown,13-16
89,Wichita St.,19-10
90,Stephen F. Austin,25-4
91,High Point,27-4
92,Hofstra,19-10
93,Marquette,10-18
94,Xavier,14-15
95,South Carolina,12-17
96,Mississippi St.,13-16
97,Oregon,11-18
98,Illinois St.,19-11
99,Kansas St.,11-17
100,DePaul,15-13
101,Wyoming,16-13
102,Sam Houston St.,20-8
103,UNC Wilmington,25-4
104,Illinois Chicago,17-13
105,Davidson,17-11
106,Pacific,17-13
107,St. Thomas,22-8
108,George Mason,22-7
109,Pittsburgh,10-18
110,Hawaii,20-7
111,UC Irvine,19-10
112,Liberty,23-5
113,Murray St.,20-10
114,Southern Illinois,15-15
115,Utah,10-19
116,UC San Diego,20-9
117,Seattle,18-12
118,Memphis,12-16
119,UAB,18-10
120,Fresno St.,12-16
121,Florida Atlantic,16-13
122,Cal Baptist,20-8
123,UNLV,14-14
124,Maryland,11-17
125,North Dakota St.,23-7
126,Duquesne,16-12
127,Washington St.,12-18
128,Bradley,19-11
129,UC Santa Barbara,18-11
130,UT Rio Grande Valley,16-13
131,Penn St.,12-17
132,Saint Joseph's,19-10
133,San Francisco,15-15
134,Navy,25-6
135,William & Mary,18-11
136,Rhode Island,15-14
137,Montana St.,17-13
138,Richmond,15-13
139,Winthrop,20-10
140,East Tennessee St.,21-9
141,Western Kentucky,18-11
142,North Texas,16-13
143,Arkansas St.,20-11
144,Loyola Marymount,15-15
145,Toledo,16-13
146,Robert Morris,21-10
147,Bowling Green,17-13
148,St. Bonaventure,15-14
149,Valparaiso,17-14
150,Northern Colorado,19-11
151,Rutgers,11-17
152,Central Arkansas,20-11
153,Troy,20-11
154,Wright St.,19-11
155,UC Davis,17-12
156,Harvard,16-10
157,CSUN,18-11
158,Charleston,20-10
159,Eastern Washington,13-17
160,Portland St.,18-10
161,Kent St.,21-8
162,Boston College,10-19
163,Oakland,16-15
164,Austin Peay,21-8
165,Cornell,13-12
166,Georgia Tech,11-18
167,UT Arlington,15-13
168,Fordham,16-13
169,Temple,15-13
170,Kennesaw St.,17-11
171,Penn,14-11
172,Cal St. Fullerton,15-14
173,Idaho,16-14
174,Merrimack,20-10
175,Utah Tech,18-12
176,Towson,16-14
177,Northern Kentucky,18-12
178,Montana,16-14
179,Middle Tennessee,15-14
180,Oregon St.,16-14
181,Lipscomb,19-12
182,New Orleans,14-15
183,New Mexico St.,13-15
