net_rank,team_net
1,Arizona
2,Michigan
3,Duke
4,Gonzaga
5,Nebraska
6,Illinois
7,Iowa St.
8,UConn
9,Purdue
10,Michigan St.
11,Houston
12,BYU
13,Vanderbilt
14,Virginia
15,Kansas
16,Florida
17,Louisville
18,Texas Tech
19,Saint Louis
20,Arkansas
21,Iowa
22,Alabama
23,North Carolina
24,Tennessee
25,St. John's (NY)
26,Utah St.
27,NC State
28,Auburn
29,Kentucky
30,Saint Mary's (CA)
31,Clemson
32,Georgia
33,SMU
34,Villanova
35,Indiana
36,Ohio St.
37,Miami (FL)
38,Wisconsin
39,UCF
40,Texas
41,Texas A&M
42,UCLA
43,New Mexico
44,TCU
45,Santa Clara
46,LSU
47,San Diego St.
48,Miami (OH)
49,Tulsa
50,Butler
51,Virginia Tech
52,Akron
53,VCU
54,California
55,Seton Hall
56,Yale
57,McNeese
58,Baylor
59,Southern California
60,Creighton
61,Belmont
62,Washington
63,Boise St.
64,West Virginia
65,South Fla.
66,Wake Forest
67,Nevada
68,George Mason
69,Missouri
70,Northwestern
71,George Washington
72,Stanford
73,Oklahoma St.
74,Grand Canyon
75,Oklahoma
76,Murray St.
77,Cincinnati
78,Illinois St.
79,Syracuse
80,Liberty
81,High Point
82,Colorado
83,Notre Dame
84,SFA
85,Dayton
86,Ole Miss
87,Minnesota
88,Arizona St.
89,Kansas St.
90,Fla. Atlantic
91,Wichita St.
92,South Carolina
93,Hawaii
94,Colorado St.
95,Providence
96,Xavier
97,Utah Valley
98,UNI
99,San Francisco
100,Sam Houston
101,Wyoming
102,William & Mary
103,Oregon
104,Troy
105,UNCW
106,DePaul
107,Mississippi St.
108,UC San Diego
109,Bowling Green
110,Pacific
111,Hofstra
112,Georgetown
113,Florida St.
114,St. Thomas (MN)
115,California Baptist
116,Utah
117,North Dakota St.
118,UC Irvine
119,Memphis
120,UAB
121,Seattle U
122,Davidson
123,ETSU
124,Rhode Island
125,Winthrop
126,Pittsburgh
127,UT Arlington
128,Richmond
129,Oakland
130,Middle Tenn.
131,Wright St.
132,Mercer
133,Penn St.
134,Portland St.
135,UNLV
136,Marshall
137,Montana St.
138,Bradley
139,Columbia
140,UIC
141,Kent St.
142,Southern Ill.
143,UC Santa Barbara
144,Marquette
145,Georgia Tech
146,Arkansas St.
147,Fresno St.
148,Duquesne
149,New Mexico St.
150,Marist
151,Washington St.
152,Lipscomb
153,Austin Peay
154,Temple
155,Drake
156,Montana
157,Boston College
158,St. Bonaventure
159,Maryland
160,Toledo
161,Idaho
162,Col. of Charleston
163,Charlotte
164,North Texas
165,Valparaiso
166,LMU (CA)
167,Rutgers
168,Kennesaw St.
169,A&M-Corpus Christi
170,Towson
171,Western Ky.
172,Siena
173,Buffalo
174,Furman
175,South Dakota St.
176,Cornell
177,Elon
178,UC Davis
179,Navy
180,Northern Colo.
181,Saint Joseph's
182,Northern Ky.
183,Eastern Mich.
184,FIU
185,Idaho St.
186,UTRGV
187,Tarleton St.
188,Quinnipiac
189,Penn
190,UT Martin
191,Robert Morris
192,Harvard
193,Massachusetts
194,Weber St.
195,Missouri St.
196,Cal St. Fullerton
197,Queens (NC)
198,Monmouth
199,Utah Tech
200,South Alabama
201,Colgate
202,LIU
203,Vermont
204,Central Ark.
205,Tulane
206,Drexel
207,San Diego
208,Portland
209,App State
210,Purdue Fort Wayne
211,Oregon St.
212,Wofford
213,CSUN
214,Merrimack
215,Indiana St.
216,Tennessee St.
217,Green Bay
218,Campbell
219,Iona
220,American
221,Lamar University
222,Coastal Carolina
223,Charleston So.
224,Milwaukee
225,Fordham
226,Jacksonville St.
227,La Salle
228,Ohio
229,Nicholls
230,Youngstown St.
231,UNC Asheville
232,Saint Peter's
233,James Madison
234,Stony Brook
235,Dartmouth
236,Lindenwood
237,New Orleans
238,Princeton
239,Ga. Southern
240,FGCU
241,Abilene Christian
242,Southeast Mo. St.
243,Hampton
244,Long Beach St.
245,Southern Miss.
246,Old Dominion
247,Fairfield
248,Northeastern
249,Bethune-Cookman
250,Rice
251,Eastern Wash.
252,Georgia St.
253,Western Mich.
254,UIW
255,SIUE
256,San Jose St.
257,Louisiana Tech
258,Presbyterian
259,N.C. A&T
260,UMBC
261,Longwood
262,Radford
263,Denver
264,Eastern Ky.
265,Howard
266,Samford
267,Le Moyne
268,Omaha
269,Cal Poly
270,North Dakota
271,Grambling
272,Central Conn. St.
273,Western Caro.
274,East Texas A&M
275,Detroit Mercy
276,Pepperdine
277,UTEP
278,Southeastern La.
279,UC Riverside
280,South Dakota
281,Brown
282,Chattanooga
283,Morehead St.
284,Sacramento St.
285,Texas St.
286,Evansville
287,East Carolina
288,Southern U.
289,Mercyhurst
290,Jacksonville
291,Boston U.
292,USC Upstate
293,Sacred Heart
294,Southern Utah
295,Norfolk St.
296,Lehigh
297,CSU Bakersfield
298,Bellarmine
299,Mount St. Mary's
300,Florida A&M
301,Northwestern St.
302,Ark.-Pine Bluff
303,Delaware
304,Little Rock
305,Eastern Ill.
306,Alabama St.
307,IU Indy
308,UNC Greensboro
309,Northern Ariz.
310,Houston Christian
311,West Ga.
312,Prairie View
313,UAlbany
314,Ball St.
315,Alabama A&M
316,New Hampshire
317,Loyola Chicago
318,NIU
319,Wagner
320,Cleveland St.
321,UMES
322,Holy Cross
323,Stetson
324,Lafayette
325,Oral Roberts
326,Army West Point
327,UMass Lowell
328,FDU
329,New Haven
330,Tennessee Tech
331,Manhattan
332,Southern Ind.
333,NJIT
334,Central Mich.
335,Bucknell
336,North Florida
337,North Ala.
338,Louisiana
339,Maine
340,Loyola Maryland
341,Stonehill
342,N.C. Central
343,Canisius
344,Air Force
345,Texas Southern
346,Bryant
347,Kansas City
348,Saint Francis
349,UTSA
350,Jackson St.
351,Niagara
352,Alcorn
353,The Citadel
354,Chicago St.
355,VMI
356,Western Ill.
357,Rider
358,Morgan St.
359,Delaware St.
360,South Carolina St.
361,ULM
362,Gardner-Webb
363,Binghamton
364,Coppin St.
365,Mississippi Val.
