sos_name,sos,source_url,updated_at_utc
Texas Tech,1,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Michigan,2,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Kansas,3,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Auburn,4,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Alabama,5,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Purdue,6,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Duke,7,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Arizona,8,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Arkansas,9,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
North Carolina State,10,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
BYU,11,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Illinois,12,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
North Carolina,13,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Michigan State,14,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Wake Forest,15,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Louisville,16,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Saint John's,17,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Baylor,18,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Vanderbilt,19,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
