0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Saint Mary's,,MANUAL,0.8,Mount Saint Mary's,0.8,Saint Thomas,0.75,Saint Mary's College,0.75,Saint Peter's,0.72,Saint John's,0.667,Saint Joseph's,0.615,Santa Clara,0.609,Saint Louis,0.609
St. John's,,MANUAL,0.8571428571428571,Saint John's,0.857,Saint Joseph's,0.696,Stetson,0.5,Saint Louis,0.5,Houston,0.5,Saint Thomas,0.476,Southern,0.471,Saint Peter's,0.455
N.C. State,,MANUAL,0.7368421052631579,Penn State,0.737,Kent State,0.737,New Mexico State,0.72,Long Beach State,0.72,San Jose State,0.696,San Diego State,0.667,Oregon State,0.667,Morgan State,0.667
Mississippi,,MANUAL,0.7857142857142857,Mississippi State,0.786,Mississippi Valley State,0.629,Missouri,0.526,Missouri State,0.48,Ole Miss,0.421,Wisconsin,0.4,Quinnipiac,0.381,UMass,0.375
Florida Atlantic,,MANUAL,0.7586206896551724,Florida A&M,0.759,Florida State,0.69,Florida,0.609,California Baptist,0.529,Loyola-Maryland,0.516,Portland,0.5,North Carolina A&T,0.5,Georgia Tech,0.5
Seattle,,MANUAL,0.56,Seattle University,0.56,Boise State,0.556,Yale,0.545,La Salle,0.533,Siena,0.5,Marquette,0.5,Lafayette,0.5,Charlotte,0.5
UNC Wilmington,,MANUAL,0.5833333333333334,Washington,0.583,Eastern Washington,0.562,UC Irvine,0.522,Creighton,0.522,Southern Illinois,0.516,George Washington,0.516,Binghamton,0.5,Wyoming,0.476
St. Thomas,,MANUAL,0.8571428571428571,Saint Thomas,0.857,Seton Hall,0.526,Stetson,0.5,Saint Louis,0.5,North Texas,0.5,East Texas A&M,0.48,West Georgia,0.476,South Dakota,0.476
Cal Baptist,,MANUAL,0.7586206896551724,California Baptist,0.759,Cal Poly,0.526,Oral Roberts,0.522,Charlotte,0.5,Alabama State,0.5,Valparaiso,0.476,Charleston,0.476,Ball State,0.476
UT Arlington,,MANUAL,0.6363636363636364,Washington,0.636,South Carolina,0.615,Eastern Washington,0.6,Princeton,0.571,Creighton,0.571,South Carolina State,0.562,East Carolina,0.56,George Washington,0.552
UT Rio Grande Valley,,MANUAL,0.6451612903225806,Utah Valley,0.645,Grand Canyon,0.5,The Citadel,0.452,Presbyterian College,0.45,Bradley,0.444,UC Riverside,0.438,UC Irvine,0.414,UTRGV,0.4
LIU,,MANUAL,0.6666666666666666,LSU,0.667,FIU,0.667,SIUE,0.571,Lehigh,0.444,Liberty,0.4,Florida,0.4,Ole Miss,0.364,Missouri,0.364
Florida Gulf Coast,,MANUAL,0.6451612903225806,Florida State,0.645,Florida A&M,0.581,Florida,0.56,California Baptist,0.5,South Florida,0.452,North Florida,0.452,Georgia State,0.452,Colorado State,0.438
CSUN,,MANUAL,0.5714285714285714,VCU,0.571,TCU,0.571,SMU,0.571,LSU,0.571,Clemson,0.545,UNLV,0.5,UNCW,0.5,UNCG,0.5
Illinois Chicago,,MANUAL,0.6666666666666666,Loyola-Chicago,0.667,Illinois State,0.667,Illinois,0.667,Western Illinois,0.5,Eastern Illinois,0.5,Southern Illinois,0.485,Northern Illinois,0.485,Abilene Christian,0.485
USC Upstate,,MANUAL,0.6666666666666666,Utah State,0.667,Texas State,0.636,Boise State,0.636,Murray State,0.609,Kansas State,0.609,Fresno State,0.609,Coppin State,0.609,Alcorn State,0.609
Nebraska Omaha,,MANUAL,0.7272727272727273,Nebraska,0.727,Omaha,0.526,East Carolina,0.444,North Dakota State,0.438,New Haven,0.435,Texas Southern,0.429,Texas Tech,0.417,North Carolina A&T,0.412
Detroit Mercy,,MANUAL,0.7,Detroit,0.7,Troy,0.471,Robert Morris,0.462,Mount Saint Mary's,0.452,Notre Dame,0.435,New Mexico,0.435,Mercyhurst,0.435,Mercer,0.421
Presbyterian,,MANUAL,0.75,Presbyterian College,0.75,West Georgia,0.583,Northwestern,0.583,Northeastern,0.583,Western Michigan,0.571,Eastern Michigan,0.571,Pepperdine,0.545,Western Illinois,0.5
Loyola MD,,MANUAL,0.75,Loyola-Maryland,0.75,Loyola-Marymount,0.64,Loyola-Chicago,0.609,Oakland,0.5,Long Island,0.5,Portland,0.471,Ole Miss,0.471,Oklahoma,0.471
Louisiana Monroe,,MANUAL,0.7333333333333333,Louisiana Tech,0.733,Louisiana,0.72,Louisville,0.538,Le Moyne,0.5,Indiana State,0.483,Southeastern Louisiana,0.474,Incarnate Word,0.467,IU Indianapolis,0.452
