team_net,record
Michigan,13-0
Arizona,14-0
Iowa St.,14-0
Gonzaga,16-1
Vanderbilt,14-0
Purdue,13-1
Duke,13-1
UConn,14-1
BYU,13-1
Illinois,11-3
Nebraska,14-0
Alabama,11-3
Iowa,12-2
Louisville,11-3
Houston,13-1
Michigan St.,12-2
Villanova,12-2
Kansas,10-4
Texas Tech,11-3
Utah St.,11-1
Georgia,13-1
North Carolina,13-2
Saint Mary's (CA),14-2
SMU,12-2
Virginia,12-2
Tennessee,10-4
Florida,9-5
Arkansas,11-3
Saint Louis,12-1
Indiana,11-3
Kentucky,9-5
UCF,12-1
St. John's (NY),9-5
Clemson,12-3
Auburn,9-5
Miami (FL),12-2
NC State,10-5
LSU,12-2
Southern California,11-2
Seton Hall,13-2
UCLA,10-4
Baylor,9-3
Ohio St.,10-3
Tulsa,11-2
Boise St.,8-4
Butler,10-5
TCU,11-3
McNeese,9-3
Oklahoma,11-3
Akron,8-4
Creighton,9-6
VCU,11-4
Texas A&M,11-3
New Mexico,10-3
Illinois St.,11-3
Virginia Tech,12-3
Miami (OH),12-0
California,12-2
Yale,9-2
Washington,9-5
Wake Forest,10-5
Santa Clara,12-4
Wisconsin,9-5
Murray St.,13-3
Kansas St.,9-5
George Washington,10-4
Nevada,11-3
Notre Dame,10-5
San Diego St.,8-4
Colorado,11-3
Texas,8-5
UNI,11-3
Belmont,12-3
Utah Valley,9-4
Stanford,12-3
South Fla.,7-6
George Mason,13-1
UC San Diego,10-3
Colorado St.,9-4
William & Mary,9-3
Wichita St.,8-6
Oklahoma St.,12-2
Northwestern,8-6
Missouri,11-3
Providence,8-6
Arizona St.,9-5
Hawaii,9-3
High Point,11-3
West Virginia,9-5
Hofstra,9-4
Syracuse,9-5
Oregon,8-6
Dayton,11-4
Minnesota,9-5
Cincinnati,8-6
Mississippi St.,9-5
Wyoming,9-4
SFA,10-2
Bowling Green,8-4
Ole Miss,8-6
Middle Tenn.,6-5
Memphis,7-7
Fla. Atlantic,7-6
St. Bonaventure,10-3
Columbia,9-3
Sam Houston,5-6
South Carolina,9-5
Seattle U,10-5
UAB,9-5
San Francisco,10-6
Liberty,8-3
Pittsburgh,7-8
Southern Ill.,7-8
Florida St.,7-8
UNCW,12-2
Pacific,9-6
Richmond,10-4
Xavier,9-6
Grand Canyon,8-5
St. Thomas (MN),9-4
California Baptist,10-6
Oakland,7-8
Troy,8-5
ETSU,8-5
DePaul,9-6
Davidson,8-5
Bradley,9-6
UC Irvine,9-5
Wright St.,7-7
Penn St.,9-5
UT Arlington,8-5
Buffalo,11-2
Arkansas St.,8-5
Marshall,9-5
Georgetown,9-5
Marist,8-5
Idaho St.,5-7
Montana St.,5-7
Western Ky.,7-5
Tarleton St.,7-5
LMU (CA),9-7
Rhode Island,9-6
New Mexico St.,5-5
Utah,8-6
Lipscomb,7-6
Mercer,5-7
Portland St.,5-5
Georgia Tech,10-5
North Dakota St.,9-5
Northern Colo.,7-5
Idaho,6-5
Cornell,5-6
North Texas,8-5
Elon,7-6
Quinnipiac,10-5
Washington St.,7-9
Kent St.,9-3
Duquesne,7-6
FIU,6-5
Maryland,7-7
UNLV,6-6
Temple,9-5
Drake,6-7
