source_team,suggested_standard,match_score
Alabama State,,0.0
Alcorn State,,0.0
Arizona State,,0.0
Ball State,,0.0
Boise State,,0.0
Cal State Northridge,,0.0
Chicago State,,0.0
Coppin State,,0.0
Detroit,,0.0
Florida State,,0.0
Fresno State,,0.0
Georgia State,,0.0
IU Indianapolis,,0.0
Idaho State,,0.0
Indiana State,,0.0
Iowa State,,0.0
Jackson State,,0.0
Kansas State,,0.0
Kent State,,0.0
Montana State,,0.0
Morgan State,,0.0
Murray State,,0.0
Norfolk State,,0.0
North Carolina State,,0.0
Ohio State,,0.0
Oregon State,,0.0
Penn State,,0.0
Presbyterian College,,0.0
Saint John's,,0.0
Saint Mary's College,,0.0
Saint Thomas,,0.0
Seattle University,,0.0
South Carolina Upstate,,0.0
Texas State,,0.0
UMKC,,0.0
UMass,,0.0
UNCG,,0.0
UTA,,0.0
Utah State,,0.0
Weber State,,0.0
Wichita State,,0.0
Wright State,,0.0
