team,record,ap,avg,net,kenpom,bpi,sos
Southern California,0-0,,,40,,,
UConn,0-0,,,8,,,
Ole Miss,0-0,,,101,,,50
Saint Mary's (CA),0-0,,,25,,,
Miami (FL),0-0,,,37,,,142
NC State,0-0,,,38,,,
St. John's (NY),0-0,,,33,,,
LMU (CA),0-0,,,133,,,
FGCU,0-0,,,193,,,252
SIUE,0-0,,,271,259,,346
UMass,0-0,,,,,,170
South Fla.,0-0,,,65,,,
Fla. Atlantic,0-0,,,97,,,
Middle Tenn.,0-0,,,102,,,
N.C. A&T,0-0,,,276,,,
N.C. Central,0-0,,,347,,,
East Texas A&M,0-0,,,289,321,,234
IU Indy,0-0,,,325,340,,
Little Rock,0-0,,,329,306,,300
McNeese,0-0,,,49,66,,203
Grambling,0-0,,,231,,,
UAlbany,0-0,,,326,,,
Kansas City,0-0,,,318,328,,
UT Martin,0-0,,,178,,,
Penn,0-0,,,216,213,,173
Southeastern La.,0-0,,,298,,,
Southern Miss,0-0,,,,192,,238
App State,0-0,,,236,,,
A&M-Corpus Christi,0-0,,,186,,,
Loyola Maryland,0-0,,,354,,,
St. Thomas (MN),0-0,,,114,,,
San Jose State,0-0,,,,,,106
Detroit Mercy,0-0,,,266,286,,
Sam Houston,0-0,,,106,,,
Louisiana,0-0,,,337,322,,186
ULM,0-0,,,353,,,276
UTRGV,0-0,,,211,,,236
Omaha,0-0,,,272,,,226
UIC,0-0,,,232,,,161
UIW,0-0,,,181,,,
Charleston So.,0-0,,,210,,,
Northern Arizona,0-0,,,,291,,253
Abilene Christian,0-0,,,207,214,,138
Air Force,0-0,,,319,334,,90
Akron,0-0,,,51,56,,112
Alabama,0-0,,,12,13,,5
Alabama A&M,0-0,,,303,301,,336
Alabama St,0-0,,,,,,
Alcorn St,0-0,,,,,,
American,0-0,,,240,235,,292
Arizona,0-0,,,2,2,,8
Arizona St,0-0,,,,,,
Arkansas,0-0,,,28,23,,9
Arkansas St,0-0,,,,,,
Arkansas-Pine Bluff,0-0,,,,,,328
