espn_name,alternate_name,source
Texas A&M-Corpus Christi,A&M-Corpus Christi,NET
Texas A&M-Corpus Christi,Texas A&M Corpus Chris,KenPom
Texas A&M-Corpus Christi,Texas A&M-Corpus Christi Islanders,BPI
Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,SoS
Alabama St,Alabama St.,NET
Alabama St,Alabama St.,KenPom
Alabama St,Alabama State Hornets,BPI
Alabama St,Alabama State,SoS
Alcorn St,Alcorn,NET
Alcorn St,Alcorn St.,KenPom
Alcorn St,Alcorn State Braves,BPI
Alcorn St,Alcorn State,SoS
Arizona St,Arizona St.,NET
Arizona St,Arizona St.,KenPom
Arizona St,Arizona State Sun Devils,BPI
Arizona St,Arizona State,SoS
AR-Pine Bluff,Ark.-Pine Bluff,NET
Arkansas-Pine Bluff,Arkansas Pine Bluff,KenPom
Arkansas-Pine Bluff,Arkansas Pine Bluff,BPI
Arkansas-Pine Bluff,Arkansas-Pine Bluff,SoS
Arkansas St,Arkansas St.,NET
Arkansas St,Arkansas St.,KenPom
Arkansas St,Arkansas State Red Wolves,BPI
Arkansas St,Arkansas State,SoS
Army,Army West Point,NET
Army,Army,KenPom
Army,Army Black Knights,BPI
Army,Army,SoS
Ball State,Ball St.,NET
Ball State,Ball St.,KenPom
Ball State,Ball State Cardinals,BPI
Ball State,Ball State,SoS
Boise St,Boise St.,NET
Boise St,Boise St.,KenPom
Boise St,Boise State Broncos,BPI
Boise St,Boise State,SoS
Boston U,Boston U.,NET
Boston U,Boston University,KenPom
Boston U,Boston University Terriers,BPI
Boston U,Boston University,SoS
Bakersfield,CSU Bakersfield,NET
Cal State Bakersfield,Cal St. Bakersfield,KenPom
Cal State Bakersfield,Cal State Bakersfield Roadrunners,BPI
Cal State Bakersfield,Cal State Bakersfield,SoS
Cal State Fullerton,Cal St. Fullerton,NET
Cal State Fullerton,Cal St. Fullerton,KenPom
Cal State Fullerton,Cal State Fullerton Titans,BPI
Cal State Fullerton,Cal State Fullerton,SoS
Central Ark,Central Ark.,NET
Central Ark,Central Arkansas,KenPom
Central Ark,Central Arkansas Bears,BPI
Central Ark,Central Arkansas,SoS
Central Connecticut,Central Conn. St.,NET
Central Connecticut,Central Connecticut,KenPom
Central Connecticut,Central Connecticut Blue Devils,BPI
Central Connecticut,Central Connecticut,SoS
Chicago St,Chicago St.,NET
Chicago St,Chicago St.,KenPom
Chicago St,Chicago State Cougars,BPI
Chicago St,Chicago State,SoS
CSUN,CSUN,NET
CSUN,CSUN,KenPom
CSUN,Cal State Northridge Matadors,BPI
CSUN,Cal State Northridge,SoS
Connecticut,Connecticut,KenPom
UConn,Connecticut,BPI
UConn,Connecticut,SoS
UConn,Connecticut,AP
CA Baptist,Cal Baptist,KenPom
CA Baptist,California Baptist Lancers,BPI
California Baptist,California Baptist,SoS
Col. of Charleston,Charleston,KenPom
Col. of Charleston,Charleston Cougars,BPI
Charleston,Charleston,SoS
East Texas A&M,East Texas A&M,KenPom
East Texas A&M,East Texas A&M Lions,BPI
East Texas A&M,East Texas A&M,SoS
Bethune-Cookman,Bethune Cookman,KenPom
Bethune-Cookman,Bethune-Cookman Wildcats,BPI
Bethune-Cookman,Bethune-Cookman,SoS
Gardner-Webb,Gardner Webb,KenPom
Gardner-Webb,Gardner-Webb Runnin' Bulldogs,BPI
Gardner-Webb,Gardner-Webb,SoS
Hawai'i,Hawaii,KenPom
Hawai'i,Hawai'i Rainbow Warriors,BPI
Hawaii,Hawaii,SoS
UIC,Illinois Chicago,KenPom
UIC,UIC Flames,BPI
UIC,UIC,SoS
ULM,Louisiana Monroe,KenPom
ULM,UL Monroe Warhawks,BPI
ULM,ULM,SoS
Massachusetts,Massachusetts,KenPom
Massachusetts,Massachusetts Minutemen,BPI
UMass,Massachusetts,SoS
Miami (FL),Miami FL,KenPom
Miami (FL),Miami Hurricanes,BPI
Miami (FL),Miami (FL),SoS
Omaha,Nebraska Omaha,KenPom
Omaha,Omaha Mavericks,BPI
Omaha,Omaha,SoS
Southeast Missouri State,Southeast Missouri,KenPom
Southeast Missouri State,Southeast Missouri State Redhawks,BPI
Southeast Missouri,Southeast Missouri,SoS
Southeastern La.,Southeastern Louisiana,KenPom
Southeastern La.,SE Louisiana Lions,BPI
Southeastern Louisiana,Southeastern Louisiana,SoS
St. John's (NY),St. John's,KenPom
St. John's (NY),St. John's Red Storm,BPI
Saint John's,Saint John's,SoS
Saint John's,Saint John's,AP
Saint Mary's (CA),Saint Mary's,KenPom
Saint Mary's (CA),Saint Mary's Gaels,BPI
Saint Mary's College,Saint Mary's College,SoS
USC,USC,KenPom
Southern California,USC Trojans,BPI
USC,USC,SoS
USC,USC,AP
App State,Appalachian St.,KenPom
App State,App State Mountaineers,BPI
Appalachian State,Appalachian State,SoS
Queens (NC),Queens,KenPom
Queens (NC),Queens University Royals,BPI
Queens,Queens,SoS
LIU,Long Island University,KenPom
LIU,Long Island University Sharks,BPI
Long Island,Long Island,SoS
UIW,Incarnate Word,KenPom
UIW,Incarnate Word Cardinals,BPI
Incarnate Word,Incarnate Word,SoS
St. Thomas (MN),St. Thomas,KenPom
St. Thomas (MN),St. Thomas-Minnesota Tommies,BPI
Saint Thomas,Saint Thomas,SoS
FGCU,Florida Gulf Coast,KenPom
FGCU,Florida Gulf Coast Eagles,BPI
FGCU,FGCU,SoS
SFA,Stephen F. Austin,KenPom
SFA,Stephen F. Austin Lumberjacks,BPI
Stephen F. Austin,Stephen F. Austin,SoS
UTRGV,UT Rio Grande Valley,KenPom
UTRGV,UT Rio Grande Valley Vaqueros,BPI
UTRGV,UTRGV,SoS
Middle Tenn.,Middle Tennessee,KenPom
Middle Tenn.,Middle Tennessee Blue Raiders,BPI
Middle Tennessee,Middle Tennessee,SoS
Sam Houston,Sam Houston St.,KenPom
Sam Houston,Sam Houston Bearkats,BPI
Sam Houston State,Sam Houston State,SoS
ETSU,East Tennessee St.,KenPom
ETSU,East Tennessee State Buccaneers,BPI
East Tennessee State,East Tennessee State,SoS
A&M-Corpus Christi,Texas A&M Corpus Chris,KenPom
UT Arlington,UT Arlington,KenPom
UT Arlington,UT Arlington Mavericks,BPI
UTA,UTA,SoS
Fla. Atlantic,Florida Atlantic,KenPom
Fla. Atlantic,Florida Atlantic Owls,BPI
FAU,FAU,SoS
UNC Asheville,UNC Asheville,KenPom
UNC Asheville,UNC Asheville Bulldogs,BPI
UNC Asheville,UNC Asheville,SoS
UT Martin,UT Martin,KenPom
UT Martin,UT Martin Skyhawks,BPI
Tennessee-Martin,Tennessee-Martin,SoS
UNCW,UNC Wilmington,KenPom
UNCW,UNC Wilmington Seahawks,BPI
UNCW,UNCW,SoS
SIUE,SIU Edwardsville,KenPom
SIUE,SIU Edwardsville Cougars,BPI
SIUE,SIUE,SoS
UNC Greensboro,UNC Greensboro,KenPom
UNC Greensboro,UNC Greensboro Spartans,BPI
UNCG,UNCG,SoS
IU Indy,IU Indianapolis,KenPom
IU Indy,IU Indianapolis Jaguars,BPI
IU Indianapolis,IU Indianapolis,SoS
UAlbany,Albany,KenPom
UAlbany,UAlbany Great Danes,BPI
Albany,Albany,SoS
N.C. A&T,North Carolina A&T,KenPom
N.C. A&T,North Carolina A&T Aggies,BPI
North Carolina A&T,North Carolina A&T,SoS
Loyola Maryland,Loyola MD,KenPom
Loyola Maryland,Loyola Maryland Greyhounds,BPI
Loyola-Maryland,Loyola-Maryland,SoS
UMES,Maryland Eastern Shore,KenPom
UMES,Maryland Eastern Shore Hawks,BPI
Maryland Eastern Shore,Maryland Eastern Shore,SoS
N.C. Central,North Carolina Central,KenPom
N.C. Central,North Carolina Central Eagles,BPI
North Carolina Central,North Carolina Central,SoS
Southern Ill.,Southern Illinois,KenPom
Southern Ill.,Southern Illinois Salukis,BPI
Southern Illinois,Southern Illinois,SoS
LMU (CA),Loyola Marymount,KenPom
LMU (CA),Loyola Marymount Lions,BPI
Loyola-Marymount,Loyola-Marymount,SoS
Northern Iowa,Northern Iowa,KenPom
UNI,Northern Iowa Panthers,BPI
Northern Iowa,Northern Iowa,SoS
Miami (OH),Miami OH,KenPom
Miami (OH),Miami (OH) RedHawks,BPI
Miami (OH),Miami (OH),SoS
South Fla.,South Florida,KenPom
South Fla.,South Florida Bulls,BPI
South Florida,South Florida,SoS
Ga. Southern,Georgia Southern,KenPom
Ga. Southern,Georgia Southern Eagles,BPI
Georgia Southern,Georgia Southern,SoS
Southern Miss.,Southern Miss,KenPom
Southern Miss.,Southern Miss Golden Eagles,BPI
Southern Miss,Southern Miss,SoS
