snapshot_date,Team,SoS
2026-01-02,North Carolina State,10
2026-01-02,Saint John's,13
2026-01-02,Michigan State,14
2026-01-02,San Diego State,20
2026-01-02,Boise State,26
2026-01-02,Arizona State,28
2026-01-02,Saint Mary's College,31
2026-01-02,Mississippi State,35
2026-01-02,Iowa State,37
2026-01-02,Florida State,38
2026-01-02,Ohio State,40
2026-01-02,Kansas State,48
2026-01-02,Utah State,53
2026-01-02,Oklahoma State,58
2026-01-02,Saint Bonaventure,76
2026-01-02,Penn State,90
2026-01-02,Washington State,91
2026-01-02,San Jose State,102
2026-01-02,Fresno State,108
2026-01-02,Wichita State,113
2026-01-02,Kent State,115
2026-01-02,Loyola-Chicago,116
2026-01-02,Colorado State,126
2026-01-02,Oregon State,127
2026-01-02,Murray State,139
2026-01-02,Illinois State,141
2026-01-02,Loyola-Marymount,142
2026-01-02,New Mexico State,143
2026-01-02,Jacksonville State,144
2026-01-02,Indiana State,146
2026-01-02,Sam Houston State,159
2026-01-02,Seattle University,179
2026-01-02,Missouri State,189
2026-01-02,Tarleton State,191
2026-01-02,UTA,193
2026-01-02,Cal State Fullerton,195
2026-01-02,Wright State,199
2026-01-02,Arkansas State,201
2026-01-02,Kennesaw State,202
2026-01-02,Georgia State,206
2026-01-02,Cleveland State,214
2026-01-02,South Dakota State,220
2026-01-02,Long Beach State,221
2026-01-02,Northwestern State,224
2026-01-02,Sacramento State,236
2026-01-02,Ball State,247
2026-01-02,Idaho State,249
2026-01-02,Texas State,262
2026-01-02,Youngstown State,269
2026-01-02,South Carolina Upstate,270
2026-01-02,East Tennessee State,271
2026-01-02,IU Indianapolis,272
2026-01-02,Montana State,274
2026-01-02,Tennessee State,279
2026-01-02,North Dakota State,280
2026-01-02,Weber State,282
2026-01-02,Portland State,286
2026-01-02,Cal State Bakersfield,288
2026-01-02,Appalachian State,291
2026-01-02,UMass-Lowell,292
2026-01-02,Mount Saint Mary's,295
2026-01-02,Morehead State,301
2026-01-02,Jackson State,304
2026-01-02,Chicago State,310
2026-01-02,Saint Thomas,312
2026-01-02,Grambling State,321
2026-01-02,Arkansas-Pine Bluff,332
2026-01-02,Loyola-Maryland,333
2026-01-02,Alcorn State,337
2026-01-02,Tennessee-Martin,339
2026-01-02,South Carolina State,344
2026-01-02,Norfolk State,347
2026-01-02,Alabama State,350
2026-01-02,Coppin State,352
2026-01-02,Mississippi Valley State,355
2026-01-02,Delaware State,364
2026-01-02,Morgan State,365
